127.0.0.1 - - [03/Dec/2018:11:35:45 +0000] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:35:48 +0000] "GET /librarySystem/librarianLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:36:15 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:36:46 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:37:10 +0000] "GET /librarySystem/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:37:16 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:37:49 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:38:02 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:40:54 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:41:06 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:41:21 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:41:42 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:41:57 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:42:01 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:42:12 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:42:26 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:42:32 +0000] "GET /librarySystem/studentInfo.jsp HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:42:34 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 4985
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:42:39 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:42:57 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:43:04 +0000] "GET /librarySystem/studentInfo.jsp HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:43:07 +0000] "GET /librarySystem/process.jsp HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:43:08 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:43:15 +0000] "GET /librarySystem/process.jsp HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:43:32 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:43:40 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:43:46 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:43:48 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 4994
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:43:53 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 4994
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:43:56 +0000] "GET /librarySystem/studentInfo.jsp HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:43:57 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 2456
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:43:59 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:44:02 +0000] "GET /librarySystem/studentInfo.jsp HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:45:08 +0000] "GET /librarySystem/process.jsp HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:46:52 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:47:07 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [03/Dec/2018:11:47:28 +0000] "POST /librarySystem/FrontController HTTP/1.1" 200 823
